구,연도,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구,1인가구수,단독주택_계,단독주택_남자,단독주택_여자,아파트_계,아파트_남자,아파트_여자,연립주택_계,연립주택_남자,연립주택_여자,다세대주택_계,다세대주택_남자,다세대주택_여자,비주거용 건물내 주택_계,비주거용 건물내 주택_남자,비주거용 건물내 주택_여자,일반수급자 65 ~ 69세,일반수급자 70 ~ 74세,일반수급자 75 ~ 79세,일반수급자 80세 이상,값,기초생활수급자비율,저소득노인_65~79비율,저소득노인_80이상비율,노령화지수,총인구,총인구_남자,총인구_여자,전년 대비 증감,증감률,1인가구_비율,65세 이상,0~14세,소비자물가
강북구,2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39082.0,9776.0,10595.0,5954.0,2179.0,3775.0,886.0,336.0,550.0,8294.0,3507.0,4787.0,926.0,480.0,446.0,2651.0,1008.0,1122.0,1110.0,1128.0,23.0,25.75,12.34,25.68,30.02,313698.0,152464.0,161234.0,2414.0,6.6,12.46,9525.0,31728.0,97.645
강북구,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40872.0,10104.0,10814.0,6208.0,2175.0,4033.0,893.0,323.0,570.0,9084.0,3786.0,5298.0,917.0,470.0,447.0,2852.0,1251.0,1303.0,1346.0,1411.0,31.0,49.72,13.1,18.24,33.97,309138.0,150028.0,159110.0,1790.0,4.6,13.22,10071.0,29644.0,99.086
강북구,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42791.0,10530.0,10960.0,6993.0,2520.0,4473.0,905.0,336.0,569.0,9500.0,3880.0,5620.0,955.0,504.0,451.0,2948.0,1517.0,1517.0,1607.0,1760.0,28.0,18.66,8.46,32.18,38.85,303871.0,147112.0,156759.0,1919.0,4.7,14.08,10768.0,27714.0,99.466
강북구,2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45685.0,11028.0,11423.0,7211.0,2622.0,4589.0,1024.0,393.0,631.0,10889.0,4483.0,6406.0,938.0,502.0,436.0,3172.0,1852.0,1703.0,1777.0,2044.0,30.0,19.87,9.5,21.14,45.48,299535.0,144779.0,154756.0,2894.0,6.8,15.25,11716.0,25762.0,100.0
강북구,2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48428.0,11446.0,11643.0,7862.0,2879.0,4983.0,1144.0,433.0,711.0,12016.0,5040.0,6976.0,999.0,568.0,431.0,3318.0,2148.0,1979.0,1902.0,2473.0,33.0,15.06,4.84,8.56,53.3,292611.0,141265.0,151346.0,2743.0,6.0,16.55,12722.0,23870.0,102.5
강북구,2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51134.0,11685.0,11595.0,8954.0,3277.0,5677.0,1252.0,468.0,784.0,13013.0,5483.0,7530.0,976.0,544.0,432.0,3659.0,2379.0,2097.0,2003.0,2947.0,36.0,14.87,3.61,7.05,61.58,287788.0,138515.0,149273.0,2706.0,5.6,17.77,13623.0,22123.0,107.72
강북구,2023,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52659.0,11585.0,11564.0,9588.0,3528.0,6060.0,1357.0,506.0,851.0,13568.0,5673.0,7895.0,990.0,552.0,438.0,4007.0,2602.0,2317.0,2154.0,3387.0,29.0,24.23,5.06,10.71,70.53,284155.0,136266.0,147889.0,1525.0,3.0,18.53,14520.0,20587.0,111.59
강서구,2014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48222.5,7831.1,7256.1,14079.2,5986.7,8092.5,576.4,219.8,356.6,6531.6,2994.1,3537.6,810.9,409.7,401.2,11137.1,76.5,555.4,982.9,246.4,30.9,14.86,10.33,26.72,3.19,599728.4,293820.1,305908.4,7381.1,13.2,9.35,6848.9,82665.2,89.257
강서구,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54624.3,7995.5,7350.6,15930.0,6678.8,9251.2,644.7,250.4,394.3,8444.8,3879.5,4565.3,832.8,432.8,400.0,13425.9,531.8,861.0,1199.3,757.6,32.5,13.76,9.53,24.78,6.83,594167.9,290319.4,303848.5,7187.1,12.3,10.33,8201.8,79170.8,91.477
강서구,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61026.0,8160.0,7445.1,17780.7,7370.9,10409.9,713.0,281.0,432.0,10358.0,4765.0,5593.0,854.6,455.9,398.7,15714.6,987.1,1166.7,1415.7,1268.9,34.0,12.65,8.73,22.83,10.48,588607.4,286818.7,301788.7,6993.1,11.5,11.32,9554.7,75676.4,93.696
