구,연도,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구,단독주택_계,아파트_계,연립주택_계,다세대주택_계,비주거용 건물내 주택_계,값,노령화지수,총인구,총인구_남자,총인구_여자,전년 대비 증감,증감률,1인가구_비율,20세 미만,65세 이상,0~14세,소비자물가,저소득노인_65~79비율,저소득노인_80이상비율,기초생활수급자총인원,기초생활수급자비율
금천구,2023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9153,3742,484,4525,649,25,55.95,245860,124278,121582,1505,3.0,21.16,116,8934,15969,111.59,6.4,14.29,3131,35.05
노원구,2017,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6127,10388,291,1992,500,24,18.66,543499,263655,279844,1624,3.4,9.99,1168,12746,68323,97.645,11.36,15.59,4585,35.97
노원구,2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6159,11058,276,2148,529,33,21.18,534096,258737,275359,2015,4.1,10.33,854,13567,64067,99.086,11.71,13.12,4903,36.14
노원구,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6192,11699,301,2221,564,29,24.19,522480,252662,269818,2085,4.1,10.59,724,14604,60377,99.466,11.9,23.34,6471,44.31
노원구,2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5846,12899,353,2492,507,32,27.53,511982,246317,265665,3073,5.8,11.02,590,15819,57456,100.0,14.31,34.28,7505,47.44
노원구,2021,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6578,13925,350,2629,648,34,31.76,503929,242171,261758,4209,7.5,11.61,644,17188,54122,102.5,4.17,11.82,8770,51.02
노원구,2022,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6705,14605,365,2739,626,38,36.04,496423,238120,258303,2375,3.9,11.8,806,18296,50770,107.72,3.45,10.64,9519,52.03
노원구,2023,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6682,15232,391,2899,631,31,40.98,492979,236495,256484,2253,3.6,12.01,710,19608,47852,111.59,1.13,3.56,10115,51.59
도봉구,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5907,3068,243,2214,302,10,20.92,332586,161944,170642,1173,4.1,8.86,221,7714,36873,97.645,7.43,19.99,1647,21.35
도봉구,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5881,3302,250,2408,279,14,23.45,328243,159569,168674,1379,4.7,9.4,194,8176,34863,99.086,7.77,20.33,2438,29.82
도봉구,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6185,3473,254,2558,334,12,27.07,323543,156961,166582,1805,5.9,10.09,159,8828,32614,99.466,6.74,17.78,2797,31.68
도봉구,2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6392,3775,280,2966,295,14,31.44,315979,153080,162899,2231,6.8,11.04,196,9582,30478,100.0,6.85,14.44,3296,34.4
도봉구,2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6597,4246,355,3315,348,15,36.86,309200,149413,159787,2969,8.5,12.24,151,10502,28488,102.5,4.93,14.86,3927,37.39
도봉구,2022,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6654,4480,389,3648,326,16,42.66,304137,146600,157537,1891,5.0,13.07,191,11354,26616,107.72,4.0,12.1,4458,39.26
도봉구,2023,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6779,4633,400,3879,290,13,49.73,299931,144315,155616,1781,4.5,13.84,171,12339,24811,111.59,7.62,18.18,4964,40.23
동대문구,2017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15375,3941,290,2396,1322,33,24.29,357380,176460,180920,1380,2.6,15.12,1696,8657,35637,97.645,4.0,2.94,7300,84.32
동대문구,2018,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15399,4340,292,2609,1207,45,26.16,358141,176323,181818,1563,2.9,15.62,1844,9010,34439,99.086,1.05,2.26,2043,22.67
동대문구,2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15476,4890,313,2748,1403,40,28.64,355094,174161,180933,2559,4.6,16.7,1543,9546,33326,99.466,8.1,16.97,4201,44.01
동대문구,2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15076,5253,364,2922,1180,44,31.64,351057,171484,179573,2773,4.8,17.37,1527,10076,31846,100.0,3.96,10.59,4679,46.44
동대문구,2021,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15664,5844,395,3107,1255,47,35.68,348201,169409,178792,4365,7.2,18.39,1198,10882,30495,102.5,3.22,8.31,5271,48.44
동대문구,2022,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15912,6183,427,3289,1354,52,39.51,350709,169670,181039,2879,4.4,19.03,1368,11646,29476,107.72,5.94,9.93,5675,48.73
동대문구,2023,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15886,6711,405,3451,1335,43,42.89,355999,171927,184072,2790,4.1,20.21,1344,12482,29103,111.59,2.76,6.19,5993,48.01
동작구,2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15623,3294,332,3773,1070,9,16.98,400236,195253,204983,1401,2.6,14.15,1151,7339,43210,97.645,7.25,16.6,1615,22.01
동작구,2018,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16139,3335,338,4017,1166,13,18.69,397980,193713,204267,2517,4.6,14.21,1108,7749,41455,99.086,9.24,19.8,2201,28.4
동작구,2019,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16849,3629,377,4275,1247,12,20.91,400368,194049,206319,3216,5.7,15.1,891,8337,39862,99.466,6.07,18.23,2779,33.33
동작구,2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17447,3798,452,4674,1267,13,23.73,392772,189611,203161,4013,6.7,16.01,1261,8941,37675,100.0,5.81,20.06,3272,36.6
동작구,2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17718,4859,450,4924,1327,14,27.02,388094,187311,200783,4130,6.4,17.37,943,9711,35940,102.5,2.41,9.8,3741,38.52
동작구,2022,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18973,4800,475,5353,1448,15,30.41,386605,186536,200069,3551,5.2,18.5,1074,10351,34036,107.72,3.15,8.46,4105,39.66
동작구,2023,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19488,4984,460,5678,1526,12,33.43,384089,185348,198741,2661,3.7,19.26,963,10878,32543,111.59,1.66,4.96,4387,40.33
마포구,2017,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10072,4151,261,4744,949,11,15.25,368841,175326,193515,780,1.5,14.67,611,6646,43580,97.645,9.44,17.06,1583,23.82
마포구,2018,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10135,4092,275,5035,898,15,16.38,368181,174194,193987,2675,4.9,15.55,782,6900,42132,99.086,9.99,15.29,1956,28.35
마포구,2019,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10167,4369,275,5285,853,13,17.67,369327,173893,195434,2411,4.2,16.09,554,7147,40457,99.466,6.33,10.91,2277,31.86
마포구,2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10355,4765,313,5942,869,15,19.75,365612,171161,194451,3924,6.6,17.43,663,7636,38669,100.0,5.8,9.19,2622,34.34
마포구,2021,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10475,5578,339,6698,850,16,22.13,365192,170867,194325,3990,6.3,18.58,485,8249,37283,102.5,4.42,8.69,3059,37.08
마포구,2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10605,5969,351,7133,789,17,24.81,362408,168768,193640,2868,4.3,19.18,609,8683,35004,107.72,7.74,11.04,3152,36.3
마포구,2023,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10844,6310,347,7302,926,14,27.6,361380,167854,193526,2082,3.0,19.55,613,9191,33305,111.59,3.37,5.27,3593,39.09
서대문구,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9866,2904,383,3054,649,10,20.79,321345,151132,170213,120,0.3,13.69,797,6930,33339,97.645,6.25,11.16,1697,24.49
서대문구,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10025,3048,410,3261,733,14,22.14,318874,149438,169436,1377,3.2,14.07,831,7136,32236,99.086,5.12,9.07,2033,28.49
서대문구,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10037,3239,440,3670,694,12,24.09,319394,149113,170281,1654,3.7,14.77,744,7517,31201,99.466,5.28,11.83,2519,33.51
서대문구,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10227,3790,439,3882,694,13,25.58,317209,148696,168513,3414,7.3,15.61,988,7954,31090,100.0,4.15,11.92,2923,36.75
서대문구,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10559,4156,514,4311,882,14,29.01,314547,146558,167989,2929,5.9,16.56,857,8545,29460,102.5,6.73,13.87,3478,40.7
서대문구,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10676,4427,526,4512,794,16,30.95,318308,146857,171451,1496,2.8,16.89,857,9020,29142,107.72,0.92,2.99,3820,42.35
서대문구,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10666,4703,547,4589,843,13,33.86,320168,147424,172744,1882,3.5,17.54,684,9552,28212,111.59,3.21,3.35,3880,40.62
서초구,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6259,3974,267,3265,778,6,8.08,414550,198241,216309,1345,3.5,9.58,537,5011,62043,97.645,1.59,1.4,680,13.57
서초구,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6110,4176,280,3585,767,8,8.79,409491,196064,213427,1435,3.6,10.05,504,5290,60202,99.086,1.3,1.61,811,15.33
서초구,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6120,4352,263,3830,763,7,9.6,404960,194195,210765,1530,3.7,10.54,521,5602,58340,99.466,3.84,8.76,1494,26.67
서초구,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6010,4343,297,4136,718,8,10.83,401749,192081,209668,1275,3.0,11.2,600,6170,56954,100.0,3.49,8.77,1698,27.52
서초구,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5913,4807,333,4505,762,9,12.32,392302,187435,204867,1991,4.5,11.99,297,6743,54730,102.5,4.32,10.07,1899,28.16
서초구,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5826,4950,315,4816,691,10,13.77,383181,183006,200175,812,1.8,12.13,278,7151,51932,107.72,5.5,6.72,2061,28.82
서초구,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5936,5254,351,5017,744,8,15.37,385267,183751,201516,2011,4.3,12.14,261,7764,50507,111.59,2.19,3.93,2332,30.04
성동구,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10794,4285,96,1458,875,9,16.73,302367,149060,153307,1993,5.4,12.92,708,5642,33732,97.645,8.27,11.26,1501,26.6
